danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target,genre
0.307,0.054,7,-24.102,1,0.0462,0.877,0.798,0.109,0.235,86.826,audio_features,4swzS4AczR6tRKdAmJyxjJ,spotify:track:4swzS4AczR6tRKdAmJyxjJ,https://api.spotify.com/v1/tracks/4swzS4AczR6tRKdAmJyxjJ,https://api.spotify.com/v1/audio-analysis/4swzS4AczR6tRKdAmJyxjJ,202853,3,1,Classical
0.725,0.431,1,-5.988,0,0.0707,0.00113,0.0,0.14,0.199,174.083,audio_features,65D95SmygxGCQGiI64eaZf,spotify:track:65D95SmygxGCQGiI64eaZf,https://api.spotify.com/v1/tracks/65D95SmygxGCQGiI64eaZf,https://api.spotify.com/v1/audio-analysis/65D95SmygxGCQGiI64eaZf,250027,4,1,Hip-Hop
0.858,0.646,8,-7.127,0,0.267,0.0274,0.0,0.0752,0.738,144.964,audio_features,1WcnFCRTDDEmyXwAZC4rGI,spotify:track:1WcnFCRTDDEmyXwAZC4rGI,https://api.spotify.com/v1/tracks/1WcnFCRTDDEmyXwAZC4rGI,https://api.spotify.com/v1/audio-analysis/1WcnFCRTDDEmyXwAZC4rGI,137856,4,1,Hip-Hop
0.883,0.525,2,-8.054,0,0.0633,0.189,0.0,0.0971,0.312,99.978,audio_features,2zjGJ0dChMR0KxBZS15aqo,spotify:track:2zjGJ0dChMR0KxBZS15aqo,https://api.spotify.com/v1/tracks/2zjGJ0dChMR0KxBZS15aqo,https://api.spotify.com/v1/audio-analysis/2zjGJ0dChMR0KxBZS15aqo,174100,4,1,Hip-Hop
0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,audio_features,7DcvwMAiqKJQD1rrdfxSDx,spotify:track:7DcvwMAiqKJQD1rrdfxSDx,https://api.spotify.com/v1/tracks/7DcvwMAiqKJQD1rrdfxSDx,https://api.spotify.com/v1/audio-analysis/7DcvwMAiqKJQD1rrdfxSDx,200107,4,1,Hip-Hop
0.509,0.0515,9,-25.597,1,0.0641,0.995,0.925,0.0828,0.18,94.247,audio_features,0hPNvRCsagdAHpqfIiDMKx,spotify:track:0hPNvRCsagdAHpqfIiDMKx,https://api.spotify.com/v1/tracks/0hPNvRCsagdAHpqfIiDMKx,https://api.spotify.com/v1/audio-analysis/0hPNvRCsagdAHpqfIiDMKx,96733,4,1,Classical
0.899,0.811,2,-6.294,1,0.258,0.000677,0.0,0.0672,0.587,105.038,audio_features,5KBARWIxeMGkvUax9VtVC9,spotify:track:5KBARWIxeMGkvUax9VtVC9,https://api.spotify.com/v1/tracks/5KBARWIxeMGkvUax9VtVC9,https://api.spotify.com/v1/audio-analysis/5KBARWIxeMGkvUax9VtVC9,126446,4,1,Hip-Hop
0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,audio_features,3ssX20QT5c3nA9wk78V1LQ,spotify:track:3ssX20QT5c3nA9wk78V1LQ,https://api.spotify.com/v1/tracks/3ssX20QT5c3nA9wk78V1LQ,https://api.spotify.com/v1/audio-analysis/3ssX20QT5c3nA9wk78V1LQ,278387,4,1,Hip-Hop
0.921,0.635,1,-4.904,1,0.416,0.0218,0.0,0.0946,0.549,130.028,audio_features,2rMAtCaTj16NptyVfEIeAC,spotify:track:2rMAtCaTj16NptyVfEIeAC,https://api.spotify.com/v1/tracks/2rMAtCaTj16NptyVfEIeAC,https://api.spotify.com/v1/audio-analysis/2rMAtCaTj16NptyVfEIeAC,192540,4,1,Hip-Hop
0.115,0.126,5,-16.638,1,0.0368,0.987,0.00432,0.0967,0.0366,82.027,audio_features,71sxgljQaCsTd20tnw9RZF,spotify:track:71sxgljQaCsTd20tnw9RZF,https://api.spotify.com/v1/tracks/71sxgljQaCsTd20tnw9RZF,https://api.spotify.com/v1/audio-analysis/71sxgljQaCsTd20tnw9RZF,267213,5,1,Classical
